12-05-2015 18:01:08,,,,,,,,,,,
Iteration,Direction_Tx,Byte_All_Tx,Byte_Sequence_Tx,Value_Tx,Time_Tx,Direction_Rx,Byte_All_Rx,Byte_Sequence_Rx,Value_Rx,Time_Rx,Latency Tx -> Rx
62,Tx,714240,11520,0xff,1431453730.557206,Rx,714240,11520,0xff,1431453730.557206,0.0
63,Tx,725760,11520,0xff,1431453731.561216,Rx,725760,11520,0xff,1431453731.561216,0.0
64,Tx,737280,11520,0xff,1431453732.585722,Rx,737280,11520,0xff,1431453732.585722,0.0
65,Tx,748800,11520,0xff,1431453733.585728,Rx,748800,11520,0xff,1431453733.585728,0.0
66,Tx,760320,11520,0xff,1431453734.582237,Rx,760320,11520,0xff,1431453734.582237,0.0
67,Tx,771840,11520,0xff,1431453735.583242,Rx,771840,11520,0xff,1431453735.583242,0.0
68,Tx,783360,11520,0xff,1431453736.579249,Rx,783360,11520,0xff,1431453736.579249,0.0
69,Tx,794880,11520,0xff,1431453737.596258,Rx,794880,11520,0xff,1431453737.596258,0.0
70,Tx,806400,11520,0xff,1431453738.590765,Rx,806400,11520,0xff,1431453738.590765,0.0
71,Tx,817920,11520,0xff,1431453739.597275,Rx,817920,11520,0xff,1431453739.597275,0.0
72,Tx,829440,11520,0xff,1431453740.593287,Rx,829440,11520,0xff,1431453740.593287,0.0
73,Tx,840960,11520,0xff,1431453741.592296,Rx,840960,11520,0xff,1431453741.592296,0.0
74,Tx,852480,11520,0xff,1431453742.591302,Rx,852480,11520,0xff,1431453742.591302,0.0
75,Tx,864000,11520,0xff,1431453743.59381,Rx,864000,11520,0xff,1431453743.59381,0.0
76,Tx,875520,11520,0xff,1431453744.589816,Rx,875520,11520,0xff,1431453744.589816,0.0
77,Tx,887040,11520,0xff,1431453745.591327,Rx,887040,11520,0xff,1431453745.591327,0.0
78,Tx,898560,11520,0xff,1431453746.589834,Rx,898560,11520,0xff,1431453746.589834,0.0
79,Tx,910080,11520,0xff,1431453747.59084,Rx,910080,11520,0xff,1431453747.59084,0.0
80,Tx,921600,11520,0xff,1431453748.595844,Rx,921600,11520,0xff,1431453748.595844,0.0
81,Tx,933120,11520,0xff,1431453749.604353,Rx,933120,11520,0xff,1431453749.604353,0.0
82,Tx,944640,11520,0xff,1431453750.623859,Rx,944640,11520,0xff,1431453750.623859,0.0
83,Tx,956160,11520,0xff,1431453751.641864,Rx,956160,11520,0xff,1431453751.641864,0.0
84,Tx,967680,11520,0xff,1431453752.642369,Rx,967680,11520,0xff,1431453752.642369,0.0
85,Tx,979200,11520,0xff,1431453753.642377,Rx,979200,11520,0xff,1431453753.642377,0.0
86,Tx,990720,11520,0xff,1431453754.645385,Rx,990720,11520,0xff,1431453754.645385,0.0
87,Tx,1002240,11520,0xff,1431453755.64639,Rx,1002240,11520,0xff,1431453755.64639,0.0
88,Tx,1013760,11520,0xff,1431453756.641898,Rx,1013760,11520,0xff,1431453756.641898,0.0
89,Tx,1025280,11520,0xff,1431453757.646906,Rx,1025280,11520,0xff,1431453757.646906,0.0
90,Tx,1036800,11520,0xff,1431453758.642918,Rx,1036800,11520,0xff,1431453758.642918,0.0
91,Tx,1048320,11520,0xff,1431453759.640925,Rx,1048320,11520,0xff,1431453759.640925,0.0
92,Tx,1059840,11520,0xff,1431453760.643446,Rx,1059840,11520,0xff,1431453760.643446,0.0
93,Tx,1071360,11520,0xff,1431453761.644469,Rx,1071360,11520,0xff,1431453761.644469,0.0
94,Tx,1082880,11520,0xff,1431453762.643979,Rx,1082880,11520,0xff,1431453762.643979,0.0
95,Tx,1094400,11520,0xff,1431453763.642986,Rx,1094400,11520,0xff,1431453763.642986,0.0
96,Tx,1105920,11520,0xff,1431453764.642491,Rx,1105920,11520,0xff,1431453764.642491,0.0
97,Tx,1117440,11520,0xff,1431453765.640999,Rx,1117440,11520,0xff,1431453765.640999,0.0
98,Tx,1128960,11520,0xff,1431453766.640505,Rx,1128960,11520,0xff,1431453766.640505,0.0
99,Tx,1140480,11520,0xff,1431453767.64102,Rx,1140480,11520,0xff,1431453767.64102,0.0
100,Tx,1152000,11520,0xff,1431453768.648544,Rx,1152000,11520,0xff,1431453768.648544,0.0
101,Tx,1163520,11520,0xff,1431453769.664082,Rx,1163520,11520,0xff,1431453769.664082,0.0
102,Tx,1175040,11520,0xff,1431453770.65612,Rx,1175040,11520,0xff,1431453770.65612,0.0
103,Tx,1186560,11520,0xff,1431453771.656175,Rx,1186560,11520,0xff,1431453771.656175,0.0
104,Tx,1198080,11520,0xff,1431453772.664717,Rx,1198080,11520,0xff,1431453772.664717,0.0
105,Tx,1209600,11520,0xff,1431453773.675253,Rx,1209600,11520,0xff,1431453773.675253,0.0
106,Tx,1221120,11520,0xff,1431453774.690785,Rx,1221120,11520,0xff,1431453774.690785,0.0
107,Tx,1232640,11520,0xff,1431453775.68483,Rx,1232640,11520,0xff,1431453775.68483,0.0
108,Tx,1244160,11520,0xff,1431453776.701888,Rx,1244160,11520,0xff,1431453776.701888,0.0
109,Tx,1255680,11520,0xff,1431453777.708946,Rx,1255680,11520,0xff,1431453777.708946,0.0
110,Tx,1267200,11520,0xff,1431453778.722982,Rx,1267200,11520,0xff,1431453778.722982,0.0
111,Tx,1278720,11520,0xff,1431453779.716991,Rx,1278720,11520,0xff,1431453779.716991,0.0
112,Tx,1290240,11520,0xff,1431453780.725999,Rx,1290240,11520,0xff,1431453780.725999,0.0
113,Tx,1301760,11520,0xff,1431453781.742011,Rx,1301760,11520,0xff,1431453781.742011,0.0
114,Tx,1313280,11520,0xff,1431453782.741028,Rx,1313280,11520,0xff,1431453782.741028,0.0
115,Tx,1324800,11520,0xff,1431453783.735533,Rx,1324800,11520,0xff,1431453783.735533,0.0
116,Tx,1336320,11520,0xff,1431453784.756539,Rx,1336320,11520,0xff,1431453784.757539,999.9275207519531
117,Tx,1347840,11520,0xff,1431453785.762061,Rx,1347840,11520,0xff,1431453785.762061,0.0
118,Tx,1359360,11520,0xff,1431453786.770118,Rx,1359360,11520,0xff,1431453786.770118,0.0
119,Tx,1370880,11520,0xff,1431453787.78513,Rx,1370880,11520,0xff,1431453787.78513,0.0
120,Tx,1382400,11520,0xff,1431453788.779643,Rx,1382400,11520,0xff,1431453788.779643,0.0
121,Tx,1393920,11520,0xff,1431453789.787169,Rx,1393920,11520,0xff,1431453789.787169,0.0
122,Tx,1405440,11520,0xff,1431453790.795201,Rx,1405440,11520,0xff,1431453790.795201,0.0
123,Tx,1416960,11520,0xff,1431453791.802212,Rx,1416960,11520,0xff,1431453791.802212,0.0
124,Tx,1428480,11520,0xff,1431453792.816766,Rx,1428480,11520,0xff,1431453792.816766,0.0
125,Tx,1440000,11520,0xff,1431453793.823822,Rx,1440000,11520,0xff,1431453793.823822,0.0
126,Tx,1451520,11520,0xff,1431453794.831377,Rx,1451520,11520,0xff,1431453794.831377,0.0
127,Tx,1463040,11520,0xff,1431453795.838425,Rx,1463040,11520,0xff,1431453795.838425,0.0
128,Tx,1474560,11520,0xff,1431453796.849445,Rx,1474560,11520,0xff,1431453796.849445,0.0
129,Tx,1486080,11520,0xff,1431453797.856464,Rx,1486080,11520,0xff,1431453797.856464,0.0
130,Tx,1497600,11520,0xff,1431453798.865995,Rx,1497600,11520,0xff,1431453798.865995,0.0
131,Tx,1509120,11520,0xff,1431453799.871015,Rx,1509120,11520,0xff,1431453799.871015,0.0
132,Tx,1520640,11520,0xff,1431453800.865531,Rx,1520640,11520,0xff,1431453800.865531,0.0
133,Tx,1532160,11520,0xff,1431453801.863554,Rx,1532160,11520,0xff,1431453801.863554,0.0
134,Tx,1543680,11520,0xff,1431453802.871073,Rx,1543680,11520,0xff,1431453802.871073,0.0
135,Tx,1555200,11520,0xff,1431453803.871582,Rx,1555200,11520,0xff,1431453803.871582,0.0
136,Tx,1566720,11520,0xff,1431453804.877092,Rx,1566720,11520,0xff,1431453804.877092,0.0
137,Tx,1578240,11520,0xff,1431453805.876601,Rx,1578240,11520,0xff,1431453805.876601,0.0
138,Tx,1589760,11520,0xff,1431453806.875109,Rx,1589760,11520,0xff,1431453806.875109,0.0
139,Tx,1601280,11520,0xff,1431453807.877619,Rx,1601280,11520,0xff,1431453807.877619,0.0
140,Tx,1612800,11520,0xff,1431453808.87263,Rx,1612800,11520,0xff,1431453808.87263,0.0
141,Tx,1624320,11520,0xff,1431453809.875136,Rx,1624320,11520,0xff,1431453809.875136,0.0
142,Tx,1635840,11520,0xff,1431453810.893648,Rx,1635840,11520,0xff,1431453810.893648,0.0
143,Tx,1647360,11520,0xff,1431453811.884657,Rx,1647360,11520,0xff,1431453811.884657,0.0
144,Tx,1658880,11520,0xff,1431453812.898169,Rx,1658880,11520,0xff,1431453812.898169,0.0
145,Tx,1670400,11520,0xff,1431453813.92418,Rx,1670400,11520,0xff,1431453813.92418,0.0
146,Tx,1681920,11520,0xff,1431453814.916192,Rx,1681920,11520,0xff,1431453814.916192,0.0
147,Tx,1693440,11520,0xff,1431453815.922202,Rx,1693440,11520,0xff,1431453815.922202,0.0
148,Tx,1704960,11520,0xff,1431453816.921212,Rx,1704960,11520,0xff,1431453816.921212,0.0
149,Tx,1716480,11520,0xff,1431453817.915721,Rx,1716480,11520,0xff,1431453817.915721,0.0
150,Tx,1728000,11520,0xff,1431453818.916234,Rx,1728000,11520,0xff,1431453818.916234,0.0
151,Tx,1739520,11520,0xff,1431453819.923245,Rx,1739520,11520,0xff,1431453819.923245,0.0
152,Tx,1751040,11520,0xff,1431453820.930256,Rx,1751040,11520,0xff,1431453820.930256,0.0
153,Tx,1762560,11520,0xff,1431453821.942266,Rx,1762560,11520,0xff,1431453821.942266,0.0
154,Tx,1774080,11520,0xff,1431453822.937273,Rx,1774080,11520,0xff,1431453822.937273,0.0
155,Tx,1785600,11520,0xff,1431453823.937784,Rx,1785600,11520,0xff,1431453823.937784,0.0
156,Tx,1797120,11520,0xff,1431453824.944295,Rx,1797120,11520,0xff,1431453824.944295,0.0
157,Tx,1808640,11520,0xff,1431453825.943306,Rx,1808640,11520,0xff,1431453825.943306,0.0
158,Tx,1820160,11520,0xff,1431453826.937315,Rx,1820160,11520,0xff,1431453826.937315,0.0
